Company name,Description,Industrial
BorgWarner,"BorgWarner, Inc. operates as a clean and efficient technology company. It offers solutions for combustion, hybrid and electric vehicles. Its products improve vehicle performance, propulsion efficiency, stability and air quality. The company also manufactures and sells products to tier one vehicle systems suppliers. It operates through the following business segments: Engine and Drivetrain. The Engine segment develops and manufactures products to manage engines for fuel efficiency, reduced emissions, and enhancedRead More performance. Its products include: turbochargers, timing systems, emissions systems, thermal systems, thermostats, diesel cold start and gasoline ignition technology. The Drivetrain segment develops and manufactures mechanical products for automatic transmissions and all-wheel drive vehicles and rotating electrical components for light and commercial vehicles. It improves fuel economy and vehicle performance. Its products include friction, mechanical and controls products for automatic transmissions and torque management products for all-wheel drive vehicles. BorgWarner was founded in 1928 and is headquartered in Auburn Hills, MI.",Auto & Truck Parts
Expeditors International,"Expeditors International of Washington, Inc. engages in the provision of global logistics services. It offers airfreight services, ocean freight and ocean services, and customs brokerage and other services. The firm also provides customer solutions such as order management, time-definite transportation, warehousing and distribution, temperature-controlled transit, cargo insurance, and customized logistics solutions. It operates through the following geographical segments: Americas; North Asia; South Asia; Europe; and MiddleRead More East, Africa, and India. The company was founded by Peter Rose, Wang Li Kou, Kevin Walsh, Hank Wong, George Ho, Robert Chiarito, and Glenn Alger in May 1979 and is headquartered in Seattle, WA.",Air Courier
Shanxi Taigang Stainless,"Shanxi Taigang Stainless Steel Co., Ltd. engages in the manufacture and sale of stainless steel and carbon steel. It offers stainless steel products, common steel products and common billets, among others. Through its subsidiaries, the Company is involved in the production and distribution of steel materials, billets, steel ingot, pig iron products and steel products, the rolling and pressing of stainless steel and other metal products, as well as the distribution of steel products. The company was founded on June 11, 1998Read More and is headquartered in Taiyuan, China.",Iron & Steel
Packaging Corp of America,"Packaging Corporation of America manufactures and sells containerboard and corrugated packaging products. It operates through following segments: Packaging, Paper and Corporate and Other. The Packaging segment offers various corrugated packaging products. The Paper segment manufactures and sells a range of papers, including communication-based papers, and pressure sensitive papers and market pulp. The Corporate and other segment include support staff services and related assets and liabilities, transportation assets, andRead More activity related to other ancillary support operations. The company was founded in 1959 and is headquartered in Lake Forest, IL.",Forest Products
Unicharm,"Unicharm Corp. engages in the manufacture and sale of baby, feminine, pet care, health care, cosmetic and household products; industrial and food packaging materials.  It operates through the following segments: Personal Care, Pet Care and Others. The Personal Care segment manufactures and sells baby care products, feminine care products, health care products and clean-and-fresh products. The Pet Care segment engages in the manufacturing of pet food products and pet toiletry products. The Others segment manufactures andRead More sells industrial related materials. The company was founded by Keiichiro Takahara on February 10, 1961 and is headquartered in Tokyo, Japan.",Household/Personal Care
Nippon Yusen,"Nippon Yusen KK engages in global logistics enterprise offering ocean, land, and air transport services. It operates through the following segments: Liner Trade, Terminal and Harbor Transport, Air Cargo Transportation, Logistics, Bulk Shipping, Cruises, Real Estate, and Others. The Liner Trade segment handles ocean cargo shipping, ship owning and chartering, and shipping agencies. The Terminal and Harbor Transport segment manages container terminals and tugboat operations, and provides harbor transport services. The AirRead More Cargo Transport segment provides air transportation services. The Logistics segment operates warehouses, cargo transport and handling, and coastal cargo shipping. The Bulk Shipping segment offers ocean and coastal shipping, ship owning and chartering; and manages shipping agencies. The Cruise segment owns and operates passenger boats. The Real Estate segment leases, manages, and sells real estate. The Others segment wholesales oil products, ship machinery and furniture; and provides transport-related and information processing services. The company was founded on September 29, 1885 and is headquartered in Tokyo, Japan.",Other Transportation
Mitsui Chemicals,"Mitsui Chemicals, Inc. engages in the manufacture and sale of petrochemicals and industrial inorganic chemical products. It operates through the following segments: Functional Chemicals, Functional Polymeric Materials, Polyurethane, Basic Chemicals, Petrochemicals, Films and Sheets, and Others. The Functional Chemicals segment involves in fine chemical development in health-care materials such as vision-care, dental-care, and medical-care, as well as functional non-woven fabrics, catalysts for olefin polymerization andRead More bio-method acryl amide catalysts. The Functional Polymeric Materials segment develops elastomers, performance compounds, and performance polymer resins for use in automobiles, electronic information materials, and the fields of lifestyle, industrial materials, environment, and energy. The Polyurethane segment produces functional products such as polyurethane foam materials and resins, acrylic resins, and amino resins for use in the automotive, information technology (IT), energy, lifestyle-related, and industrial materials fields. The Basic Chemicals segment manufactures phenol and its derivative products, as well as develops industrial chemical business such as hydroquinone, purified terephthalic acid, and PET resin. The Petrochemicals segment includes functional propylene catalysts. The Films and Sheets segment fabricates products such as films and sheets in fields of lifestyle, industrial material, IT, and energy. The Others segment deals with other related businesses. The company was founded on July 1, 1955 and is headquartered in Tokyo, Japan.",Specialized Chemicals
China Eastern Airlines,"China Eastern Airlines Corp. Ltd. is engaged in the provision of passenger and cargo air transportation services. The airline runs passenger aircraft, business aircraft, and freighters. It operates through the following geographical segments: Domestic, Regional, and International. The company was founded in June 1988 and is headquartered in Shanghai, China.",Airline
Goodyear,"Goodyear Tire & Rubber Co. is engaged in development, manufactures, distribution, and sale of tires and related products and services worldwide. It manufactures and markets numerous lines of rubber tires for automobiles, trucks, buses, aircraft, motorcycles, farm implements, earthmoving and mining equipment, industrial equipment and various other applications. It operates business through four operating segments representing its regional tire businesses: North American Tire, Europe, Middle East and Africa (EMEA) Tire, LatinRead More American Tire and Asia Pacific Tire. The North American Tire segment develops, manufactures, distributes and sells tires and related products and services in the United States and Canada, and sells tires to various export markets, primarily through intersegment sales. The EMEA Tire segment develops, manufactures, distributes and sells tires for automobiles, trucks, buses, aircraft, motorcycles, farm, earthmoving and mining equipment, and industrial equipment throughout Europe, the Middle East and Africa, and sells tires to various export markets, primarily through intersegment sales. The Latin American Tire segment manufacturing and selling automobile and truck tires throughout Central and South America and in Mexico, and sells tires to various export markets, primarily through intersegment sales. The Asia Pacific Tire segment produces and markets tires for automobiles, light and medium trucks, aircraft, and farm, earthmoving and mining equipment throughout the Asia Pacific region, and sells tires to various export markets, primarily through intersegment sales. The company was founded by Frank A. Seiberling on August 29, 1898 and is headquartered in Akron, OH.",Auto & Truck Parts
PNC Financial Services,"PNC Financial Services Group, Inc. engages in the provision of diversified financial services, including retail and business banking; residential mortgage banking; specialized services for corporations and government entities, including corporate banking, real estate finance and asset-backed lending; wealth management and asset management. It operates through the following segments: Retail Banking, Corporate & Institutional Banking, Asset Management Group, Residential Mortgage Banking, BlackRock and Non-Strategic AssetsRead More Portfolio. The Retail Banking segment provides deposit, lending, brokerage, trust, investment management, and cash management services to consumer and small business customers within its primary geographic markets. The Corporate & Institutional segment provides lending, treasury management, and capital markets-related products and services to mid-sized corporations, government and not-for-profit entities, and selectively to large corporations. The Asset Management Group segment includes personal wealth management for high net worth and ultra high net worth clients and institutional asset management. The Residential Mortgage Banking segment directly originates primarily first lien residential mortgage loans on a nationwide basis with a significant presence within the retail banking footprint, and also originates loans through majority and minority owned affiliates. Mortgage loans represent loans collateralized by one-to-four-family residential real estate. The BlackRock segment manages assets on behalf of institutional and individual investors worldwide through a variety of equity, fixed income, multi-asset class, alternative and cash management separate accounts and funds, including iShares. The Non-Strategic Assets Portfolio segment offers commercial residential development loans, cross-border leases, consumer brokered home equity loans, retail mortgages, non-prime mortgages, and residential construction loans. The company was founded in 1983 and is headquartered in Pittsburgh, PA.",Major Banks
Assurant,"Assurant, Inc. engages in the provision of risk management solutions, protecting where consumers live and the goods they buy. It operates through following segments: Global Housing, Global Lifestyle, Global Preneed and Total Corporate and Other. The Global Housing segment provides lender-placed homeowners, manufactured housing and flood insurance; renters insurance and related products, also referred to as its multi-family housing business ; and field services, valuation services and other property risk management services,Read More also referred to as its mortgage solutions business. The Global Lifestyle segment provides mobile device protection products and related services and extended service products and related services for consumer electronics and appliances, also referred to as its global connected living business; vehicle protection services; and credit insurance. The Global Preneed segment provides pre-funded funeral insurance and annuity products. The Corporate and Other segment includes corporate and other activities of the holding company, financing and interest expenses, net realized gains and losses on investments and interest income earned from short-term investments held. The company was founded on February 4, 2004 and is headquartered in New York, NY.",Diversified Insurance
Cosmo Oil,"Cosmo Oil Co., Ltd. engages in the development, import, refinement, and sale of crude oil. It operates through the following segments: Petroleum, Petrochemical, Petroleum Development, and Others. The Petroleum segment engages in the manufacture and sale of volatile oil, naphtha, kerosene, light oil, heavy oil, crude oil, lubricants, liquefied petroleum gas, and asphalt. The Petrochemical segment engages in the manufacture and sale of petrochemical products such as xylene, benzene, toluene, and chemical solvents. TheRead More Petroleum Development engages in the development, manufacture, and sale of crude oils. The Other segment involves in construction, insurance agency, leasing, travel, and wind power businesses. The company was founded on April 9, 1939 and is headquartered in Tokyo, Japan.",Oil & Gas Operations
Quinenco,"Quiñenco SA is a holding company that engages in financial services, food and beverages and manufacturing businesses through its subsidiaries. It operates through the following segments: Manufacturing, Financial and Beverages and Food. The Manufacturing segment includes the production of metal sheets, tubes, plates and sidings, and flexible packages for the construction, mining exploration, energy and general and consumer industries. The Financial segment provides services in insurance brokerage, mutual funds, factoringRead More operations and financial consulting. The Beverages and Food segment consists of the production of beer, soft drinks, fruit juices, wines and pisco.  The company was founded in 1996 and is headquartered in Las Condes, Chile.",Conglomerates
Interpublic Group,"Interpublic Group of Cos., Inc. provides marketing and business services. It specializes in consumer advertising, digital marketing, communications planning and media buying, public relations and specialized communications disciplines. The company has three global networks, McCann Worldgroup, Foote, Cone & Belding and MullenLowe Group, which provide integrated, large-scale advertising and marketing solutions for clients. Its global media services companies include UM and Initiative, which operate under the IPG MediabrandsRead More umbrella. It operates its business through two segments: Integrated Agency Network and Constituency Management Group. The Integrated Agency Network segment is comprised of Draftfcb, Lowe, McCann, Media agencies and Stand-alone agencies. The Constituency Management Group segment includes Weber Shandwick, FutureBrand, DeVries, GolinHarris, Jack Morton, and Octagon Worldwide. It provides clients with diversified services, including public relations, meeting and event production, sports and entertainment marketing, corporate and brand identity and strategic marketing consulting. The company was formerly known as McCann-Erickson, Inc. and changed its name The Interpublic Group of Co., Inc. in January 1961. Interpublic was founded on September 18, 1930 and is headquartered in New York, NY.",Advertising
American Water Works,"American Water Works Co., Inc. engages in the provision of complementary water and wastewater services. It operates through regulated businesses division, which includes the ownership of subsidiaries that provide water and wastewater utility services to residential, commercial, industrial and customers, including sale for resale and public authority customers. The company was founded in 1886 and is headquartered in Voorhees, NJ.",Diversified Utilities
Shizuoka Bank,"The Shizuoka Bank, Ltd. engages in the provision of financial banking services. It operates through the following segments: Banking Operations, Leasing Operations, and Others. The Banking Operations segment consists of deposits, loans, investment securities, and exchange transactions. The Leasing Operations segment includes lease transactions centered on finance leases. The Others segment includes commissioned computer processing, domestic financial commodity trading, and credit guarantee services. The company was foundedRead More on March 1, 1943 and is headquartered in Shizuoka, Japan.",Regional Banks
Jyske Bank,"Jyske Bank A/S engages in provision of banking products and services to private customers, small and medium-sized companies, and public institutions. It operates through the following segments: Banking-, Mortgage-, Leasing Activities, and Internal Allocation. The Banking Activities segment offers consultancy services on traditional financial solutions for private and corporate customers and trade and investments for corporate and institutional clients. The Mortgage Activities segment covers financial solutions for realRead More estate funding. The Leasing Activities segment focuses on leasing and financing of vehicles as well as of tangible assets for commercial purposes. The Internal Allocation segment covers market-based and service allocations in determining unit price and transfer pricing. The company was founded on July 7, 1967 and is headquartered in Silkeborg, Denmark.",Regional Banks
People's United Bank,"People's United Bank is a savings and loan holding company. It provides commercial banking, retail and business banking and wealth management services to individual, corporate and municipal customers through People's United Bank and its subsidiaries. It operates through the Commercial Banking and Retail Banking segments. The Commercial Banking segment consists commercial real estate lending, commercial and industrial lending, and commercial deposit gathering activities. This segment also includes the equipment financingRead More operations of People's Capital and Leasing Corp. and People's United Equipment Finance Corp, as well as cash management, correspondent banking and municipal banking. The Retail Banking segment includes as its principal business lines, business lending, consumer and business deposit gathering activities, consumer lending (including residential mortgage and home equity lending), and merchant services. This segment also includes brokerage, financial advisory services, investment management services and life insurance provided by People's Securities, Inc. and non-institutional trust services. The company was founded on November 2, 2006 and is headquartered in Bridgeport, CT.",Thrifts & Mortgage Finance
Tyson Foods,"Tyson Foods, Inc. engages in the production of processed food. It operates through the following segments: Chicken, Beef, Pork and Prepared Foods. The Chicken segment involves in domestic operations related to raising and processing live chickens into fresh, frozen, and value-added chicken products, as well as sales from allied products. The Beef segment includes operations related to processing live fed cattle and fabricating dressed beef carcasses into primal and sub-primal meat cuts and case-ready products. The PorkRead More segment operates with live markets hogs and fabricating pork carcasses into primal and sub-primal cuts and case-ready products. The Prepared Foods segment manufactures and markets frozen and refrigerated food products and logistic operations to move products through the supply chain. The company was founded by John W. Tyson in 1935 and is headquartered in Springdale, AR.",Food Processing
BPER Banca,"Banca Popolare dell'Emilia Romagna Società Cooperativa engages in the provision of banking services. It operates through the following segments: Retail, Private, Corporate, Large Corporate, Finance, Corporate Centre, and Other Activities. The Retail segment refers to individuals and joint accounts not regulated by the BperPrivate service; sole traders; and partnerships or limited companies. The Private segment deals with businesses conducted with individuals and from joint accounts regulated by the BperPrivate service. TheRead More Corporate segment transacts with public administrations, non-financial and non-resident companies, and non-financial partnerships and companies. The Large Corporate segment also conducts business with non-financial partnerships and companies with high turnovers. The Finance segment derives its operations from treasury activities, investment portfolio management, and access to financial markets and specialist operational support for the commercial network. The Corporate Center focuses on the corporate governance of the company, strategic decisions and results, and from activities directly connected to other areas of the business. The Other Activities segment specializes in the non-banking companies of the group. The company was founded in 1994 and is headquartered in Modena, Italy.",Regional Banks
Vallourec,"Vallourec SA is engaged in the production of tube products and steel fabrication. Its business activities include oil and gas, power generation, industrial applications, and other energy markets. The company was founded in 1899 and is headquartered in Paris, France.",Other Industrial Equipment
Weatherford International,"Weatherford International Plc provides equipment and services to the oil and natural gas exploration and production industry. It operates its business through following segments: Formation Evaluation & Well Construction and Completion & Production. The Formation Evaluation & Well Construction segment offers services such as controlled-pressure drilling and testing, drilling, tubular running, drilling tools, integrated drilling, wireline services, re-entry and fishing, cementing, liner systems, integrated laboratory servicesRead More and surface logging. The Completion & Production segment pertains for service lines, including artificial lift systems, stimulation and chemicals, completion systems and pipeline and specialty services. The company was founded in 1941 and is headquartered in Geneva, Switzerland.",Oil Services & Equipment
SDIC Power Holdings,"SDIC Power Holdings Co., Ltd. engages in the construction, investment, and management of energy projects. It operates through the following business divisions: Electric Power and Raw Coal. The Electric Power division undertakes the construction and development of power generation projects. The Raw Coal division buys and sells newly mined coal. The company was founded on February 23, 1989 and is headquartered in Beijing, China",Electric Utilities
Protective Life,"Protective Life Corp. is a holding company with subsidiaries that provide financial services through the production, distribution, and administration of insurance and investment products. It markets individual life insurance, credit life and disability insurance, guaranteed investment contracts, guaranteed funding agreements, fixed and variable annuities, and extended service contracts throughout the United States. The company operates its business through six segments: Life Marketing, Acquisitions, Annuities, Stable ValueRead More Products, Asset Protection and Corporate and Other. The Life Marketing segment markets universal life, variable universal life, bank-owned life insurance, and level premium term insurance products on a national basis primarily through networks of independent insurance agents and brokers, stockbrokers, and independent marketing organizations. The Acquisitions segment focuses on acquiring, converting, and servicing policies acquired from other companies. This segment primarily focuses on life insurance policies and annuity products that were sold to individuals. The Annuities segment markets fixed and variable annuity products. These products are primarily sold through broker-dealers, financial institutions and independent agents and brokers. The Stable Value Products segment sells guaranteed funding agreements to special purpose entities that in turn issue notes or certificates in smaller, transferable denominations. This segment also markets fixed and floating rate funding agreements directly to the trustees of municipal bond proceeds, institutional investors, bank trust departments, and money market funds. The Asset Protection segment markets extended service contracts and credit life and disability insurance to protect consumers' investments in automobiles, watercraft, and recreational vehicles. This segment also offers a guaranteed asset protection product. The Corporate and Other segment consists of net investment income, including the impact of carrying excess liquidity; expenses not attributable to the segments above, including interest on debt; and a trading portfolio that was previously part of a variable interest entity. Protective Life was founded by William Dorsey Jelks in 1907 and is headquartered in Birmingham, AL.",Life & Health Insurance
Skanska,"Skanska AB engages in the project development and construction business. It operates through the following business segments: Construction, Residential Development, Commercial Property Development and Infrastructure Development. The Construction segment includes both building construction and civil construction in the Nordic Region, Europe, North America and Latin America. The Residential Development segment develops residential projects for immediate sale. The Commercial Property Development segment initiates, develops,Read More leases and divests commercial property projects that focus on office buildings, shopping malls and logistics properties. The Infrastructure Development segment specializes in the identifying, developing and investing in privately financed infrastructure projects, such as highways, hospitals, schools and power generating plants. The company was founded by Rudolf Fredrik Berg in 1887 and is headquartered in Stockholm, Sweden.",Construction Services
Smurfit Kappa Group,"Smurfit Kappa Group Plc operates as an integrated paper and paperboard manufacturer and converter. It also engages in the manufacturing, distribution and selling of containerboard, corrugated containers and other paper-based packaging products, such as solid board, graphic board and bag-in-box. The company operates its business in two regional segments: Europe and Americas. The Europe segment includes a system of mills and plants that primarily produces a full line of containerboard that is converted into corrugatedRead More containers. The Americas segment comprises forestry, paper, corrugated, paper sack and folding carton activities. Smurfit Kappa Group was founded on December 1, 2005 and is headquartered in Dublin, Ireland.",Paper & Paper Products
Marathon Oil,"Marathon Oil Corp. engages in the exploration, production, and marketing of liquid hydrocarbons and natural gas. It operates through the following segments: North America E&P, International E&P, and Oil Sands Mining. The North America E&P segment engages in the explores for, produces, and markets crude oil and condensate, natural gas liquids (NGL), and natural gas in the United States. The International E&P segment involves exploration, production, and marketing of crude oil and condensate, NGL and natural gas outside ofRead More North America; and production and marketing of products manufactured from natural gas such as liquefied natural gas and methanol in Equatorial Guinea. The Oil Sands segment includes mining, extraction, and transport of bitumen from oil sands deposits in Alberta, Canada, and the upgrade of bitumen to produce and market synthetic crude oil and vacuum gas oil. The company was founded in 1887 and is headquartered in Houston, TX.",Oil & Gas Operations
Charoen Pokphand Foods,"Charoen Pokphand Foods Public Co. Ltd. engages in the operation of agro-industrial and food businesses. It operates through the Livestock and Aquaculture Business segments. The Livestock Business segment comprises of chicken, ducks, and pigs. The Aquaculture Business segment consists of shrimp and fish. Its products includes animal feed, animal farm products, and processed foods and ready meals. The company was founded on January 17, 1978 and is headquartered in Bangkok, Thailand.",Food Processing
Ametek,"AMETEK, Inc. engages in the manufacture of electronic instruments and electromechanical devices. It operates its business through Electronic Instruments Group and Electromechanical Group segments. The Electronic Instruments Group segment focuses on the process and analytical instrumentation for the chemical and petrochemical, oil, gas, pharmaceutical, semiconductor, and factory automation markets. The Electromechanical Group segment deals with the precision motion control products used in data storage, medical devices,Read More business equipment, factory automation, and other applications. The company was founded in 1930 and is headquartered in Berwyn, PA.",Electrical Equipment
BBMG,"BBMG Corp. is engaged in the manufacture and sale of cement and modern building materials, property development, property investment, and the provision of property management services. It operates through the following segments: Cement and Ready-mixed concrete, Modern Building Materials and Commerce and Logistics, Property Development, and Property Investment and Management. The Cement and Ready-mixed concrete segment offers cement and concrete products. The Modern Building Materials and Commerce and Logistics segmentRead More providesfurniture and woods; and decorative and fitting, wall body and insulation, and refractory materials. The Property Development segment engages in real estate development, including housing and office building projects. The Property Investment and Management segment invests in and manages self-developed properties. It invests in offices, commercial units, and parking spaces; and provides security services to residential and commercial properties. The company was founded on December 22, 2005 and is headquartered in Beijing, China.",Construction Materials
Portugal Telecom,Lisbon,Telecommunications services
Shinsei Bank,"Shinsei Bank, Ltd. is engaged in the banking business. It operates through the following segments: Institutional Group, Global Markets Group, and Individual Group. The Institutional Group segment comprises of Institutional Business Sub-Group which provides financial products and services for corporate and public sectors, Structured Finance Sub-Group which includes businesses such as real estate finance and specialty finance, Principal Transactions Sub-Group which covers credit trading and private equity business, ShowaRead More Leasing, and Others including advisory business and asset-backed investment. The Global Markets Group segment comprises of Financial Institutions Sub-Group which provides financial products and services for financial institutions, Markets Sub-Group which deals with foreign exchange, derivatives, and other capital markets business, Treasury Sub-Group which undertakes asset liability management related transactions, and Others which covers asset management, wealth management, and Shinsei Securities business. The Individual Group segment comprises of Retail Banking business, Shinsei Bank Card Loan, subsidiaries Shinsei Financial, Shinki, APLUS Financial, and Shinsei Property Finance. The company was founded on December 1, 1952 and is headquartered in Tokyo, Japan.",Regional Banks
Alrosa,"ALROSA PJSC engages in the exploration, production, processing, marketing, and sale of diamonds. It operates through the following segments: Diamonds, Transportation, Social Infrastructure, Construction Activity, Trading, Electricity Production, and Other Activities. The company was founded on February 19, 1992 and is headquartered in Mirny, Russia.",Diversified Metals & Mining
British Land,"The British Land Co. Plc is a real estate investment trust that owns, manages, finances and develops commercial properties. The company focuses on high-quality UK retail locations and London offices. Its property portfolio comprises retail parks, super stores, shopping centers, department stores, residential and offices. British Land portfolio includes directly owned properties as well as properties held through joint ventures and investment funds. The company was founded in 1856 and is headquartered in London, the UnitedRead More Kingdom.",Real Estate
Pirelli,"Pirelli & Co. SpA is a holding company, which designs, develops, manufactures and markets tyres for motor vehicles, industrial vehicles and motorcycles and steel cord. It operates through the Consumer Business and Industrial Business segments. The Consumer Business segment includes car and motorcycle tyres made for both the original equipment and replacement markets. The Industrial Business segment comprises truck tyres and tyres for agricultural equipment, also made for the original equipment and replacement markets, asRead More well as the steel cord business. The company was founded by Giovanni Battista Pirelli in 1872 and is headquartered in Milan, Italy.",Auto & Truck Parts
Qatar Islamic Bank,"Qatar Islamic Bank engages in the provision of corporate, retail, and investment banking activities. It operates through the following segments: Personal Banking, Wholesale Banking, Group Function, and Local and International Subsidiaries. The Personal Banking segment includes accounts, financing, cards, takaful, and other services. The Wholesale Banking segment comprises of corporate financing, contracting and real estate financing, trade services, and corporate internet banking. The Group Function segment includesRead More treasury, investment, finance and other central functions. The Local and International Subsidiaries segment include the Groups local and international subsidiaries. The company was founded on July 8, 1982 and is headquartered in Doha, Qatar.",Regional Banks
Arca Continental,"Arca Continental SAB de CV engages in the production, distribution and sale of non-alcoholic beverages and snacks. It operates through two segments: Beverages and Others. The Beverages segment manufactures, distributes and sells soft drinks of the TCCC brands, in several territories of Mexico, Argentina and Ecuador, and dairy beverages of the Santa Clara brand in Mexico and Toni in Ecuador. Its beverage portfolio includes cola and flavored drinks, purified and flavored water in an individual format and other carbonated andRead More non-carbonated drinks, in different presentations. The Others segment includes jug water and snacks. The company was founded on June 1, 2011 and is headquartered in Monterrey, Mexico.",Beverages
Wyndham Worldwide,"Wyndham Worldwide Corp. offers individual consumers and business customers a broad array of hospitality services and products across various accommodation alternatives through its portfolio of brands. It operates through three business segments: Hotel Group, Destination Network, and Vacation Ownership. The Hotel Group segment franchises hotels in the upscale, upper midscale, midscale, economy and extended stay segments and provides hotel management services for full-service and select limited-service hotels. The DestinationRead More Network segment provides vacation exchange services and products to owners of intervals of vacation ownership interests and markets vacation rental properties primarily on behalf of independent owners. The Vacation Ownership segment develops, markets and sells vacation ownership interests to individual consumers, provides consumer financing with the sale of vacation ownership interests and provides property management services at resorts. The company was founded on July 31, 2006 and is headquartered in Parsippany, NJ.",Hotels & Motels
KLA-Tencor,"KLA-Tencor Corp. engages in the design, manufacture, and marketing of process control and yield management solutions for the semiconductor and related nanoelectronics industries. Its products include manufactured chips, wafers, reticles, data storage media, light-emitting diode, and compound semiconductors. The company was founded in April 1997 and is headquartered in Milpitas, CA.",Semiconductors
Coca-Cola HBC,"Coca-Cola HBC AG operates as a holding company, which engages in the producing, selling and distribution of non-alcoholic beverages. Its products consist of sparkling beverages, still beverages and water, including juices, sports and energy drinks, and other ready to drink beverages such as teas and coffees. It also distributes beer and third party premium spirits in certain of its central and eastern European operations. The company was founded on September 19, 2012 and is headquartered in Zug, Switzerland.",Beverages
Ford Motor,"Ford Motor Co. engages in the manufacture, distribution, and sale of automobiles. It operates through the following segments: Automotive, Financial Services, Ford Smart Mobility, and Central Treasury Operations. The Automotive segment includes the sale of Ford and Lincoln brand vehicles, service parts, and accessories worldwide, together with the associated costs to develop, manufacture, distribute, and service the vehicles, parts, and accessories. The Financial Services segment includes its vehicle-related financing andRead More leasing activities at Ford Motor Credit Company LLC . The Central Treasury Operations segment engages in decision making for investments, risk management activities, and providing financing for the Automotive segment. The Ford Smart Mobility segment designs, builds, grows, and invests in emerging mobility services. The company was founded by Henry Ford on June 16, 1903 and is headquartered in Dearborn, MI.",Auto & Truck Manufacturers
PBF Energy,"PBF Energy, Inc. operates as a petroleum refiner and supplier of unbranded transportation fuels, heating oil, petrochemical feedstocks, lubricants and other petroleum products in the United States. The company owns and operates oil refineries and related assets through its subsidiaries in New Jersey, Delaware and Ohio. It produces a variety of products at each of its refineries, including gasoline, ULSD, heating oil, jet fuel, lubricants, petrochemicals and asphalt. The company operates its business through two segments:Read More Refining and Logistics. PBF Energy was founded on March 1, 2008 and is headquartered in Parsippany, NJ.",Oil & Gas Operations
UGI,"UGI Corp. operates as a holding company, which through its subsidiaries, distributes, stores, transports, and markets energy products and related services. It operates through the following segments: AmeriGas Propane, UGI International-UGI France, UGI International-Flaga & AvantiGas, Energy Services, Electric Generation, and UGI Utilities. The AmeriGas Propane segment consists of the propane distribution business of AmeriGas Partners, L.P. The UGI International-France comprises of the French liquefied petroleum gas (LPG)Read More distribution business of Antargaz and LPG in Belgium, the Netherlands, and Luxembourg. The UGI International-Flaga & AvantiGas segment includes LPG distribution businesses of Flaga GmbH and AvantiGas Limited. The Energy Services segment offers energy marketing; operation and acquisition of a natural natural gas liquefaction, storage, and vaporization facility and propane-air mixing assets; managing natural gas pipeline and storage contracts; and developing, owning and operating pipelines, gathering infrastructure, and gas storage facilities. The Electric Generation segment operates electric generation facilities. The UGI Utilities segment includes regulated natural gas distribution businesses. The company was founded in 1991 and is headquartered in King of Prussia, PA.",Natural Gas Utilities
Cathay Pacific Airways,"Cathay Pacific Airways Ltd. engages in the airline operating services. The company operates its business through the following segments: Airline Business and Non-Airline Business. The Airline Business segment comprises passenger and cargo operations. The Non-Airline Business segment engages in the catering, ground handling and aircraft ramp handling services. It provides flight services, air cargo services, airline catering, aircraft handling and engineering services. The company was founded by Roy C. Farrell and Sydney H.Read More de Kantzow on September 24, 1946 and is headquartered in Hong Kong.",Airline
Wuhan Iron & Steel,"Wuhan Iron & Steel Co. Ltd. engages in the processing and manufacture of iron, steel, and equipments for mining, coking, steel-making, iron-making, rolling and supporting auxiliary facilities. Its business segments are Iron & Steel Industries and Related Industries. Its products include silicon steel products, hot-rolled products, cold-rolled products, medium plate products, section steel products, and wire and rod products. The company was founded in 1954 and is headquartered in Wuhan, China.",Iron & Steel
Medipal Holdings,"Medipal Holdings Corp. engages in the sale of pharmaceutical products. Its operations are carried out through the following segments: Prescription Pharmaceutical Wholesale Business; Cosmetics, Daily Necessities, and Over-The-Counter (OTC) Pharmaceutical Wholesale Business; and Animal Health Products Wholesale Business. The Prescription Pharmaceutical Wholesale Business segment conducts wholesale business for hospitals, clinics, dispensing pharmacies, and other customers. The Cosmetics, Daily Necessities and OTCRead More Pharmaceutical Wholesale Business segment deals with wholesale business for drugstores, home centers, convenience stores, supermarkets, and other customers. The Animal Health Products Wholesale Business segment handles wholesale business for animal hospitals, farms, agricultural cooperatives, and other customers. The company was founded on October 8, 1898 and is headquartered in Tokyo, Japan.",Pharmaceuticals
Bank of Montreal,"Bank of Montreal provides banking and financial services to individuals and institutions. It operates through three groups: Personal and Commercial Banking, Wealth Management and BMO Capital Markets. The Personal and Commercial Banking is comprised of Personal and Commercial Banking Canada and Personal and Commercial Banking U.S., which provides financial solutions for everyday banking, financing, investing, credit cards and creditor insurance, as well as a variety of commercial products and financial advisory services toRead More individuals, small and mid-sized business customers. The Wealth Management offers wealth management products and solutions including insurance products. The BMO Capital Markets group provides equity and debt underwriting, corporate lending and project financing, mergers and acquisitions advisory services, merchant banking, securitization, treasury and market risk management, foreign exchange, derivatives, debt and equity research and institutional sales and trading. Bank of Montreal was founded by Robert Armour, John C. Bush, Austin Cuvillier, George Garden, Horatio Gates, James Leslie, George Moffatt, John Richardson and Thomas A. Turner on June 23, 1817 and is headquartered in Montreal, Canada.",Major Banks
